"Timestamp","Understanding why some people are less likely to take up the COVID-19 vaccine","Understanding the experience of using the internet for daily activities (e.g. shopping, keeping in contact with friends and family) ","Examining impact of the pandemic on mental health, loneliness and wellbeing","Understanding how experience as a child of the 50s and 60s has helped with coping with the effects of COVID-19 lockdowns, social isolation and mental health issues?","Are there any other aspects of life during the pandemic that you think should be researched?","Please tell us if you are a..."
"2021/05/09 2:51:49 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 4:23:57 pm CET","5","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 5:07:31 pm CET","5","3","5","3","Learning deficit ","Member of Aberdeen Children of the 1950s study"
"2021/05/09 5:23:18 pm CET","3","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 5:50:24 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 6:06:01 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 6:29:44 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/09 7:51:32 pm CET","5","3","5","4","Life following rules and guidance with the impact that restrictions cause.  Looking at how people either don’t appreciate the potential consequences of not taking even the simplest of rules such as keeping distance form other people and invading other peoples space ","Member of Aberdeen Children of the 1950s study"
"2021/05/10 12:34:02 am CET","5","3","5","4","N/A","Member of Aberdeen Children of the 1950s study"
"2021/05/10 7:48:07 am CET","2","3","2","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/10 1:30:14 pm CET","5","4","4","3","The initial resistance by people to wear masks and socially distance or even believe that the virus existed at all.","Member of Aberdeen Children of the 1950s study"
"2021/05/10 2:59:50 pm CET","5","3","4","1","","Member of Aberdeen Children of the 1950s study"
"2021/05/10 7:57:14 pm CET","1","3","5","3","How the experience of the Pandemic has changed the way you will live and behave going forward e.g shopping, travelling, the way we greet each other, eating and drinking at home.","Member of Aberdeen Children of the 1950s study"
"2021/05/11 8:58:04 am CET","2","5","4","3","Access (or lack of it!) to fresh food (fruit, vegetables, fish, meat) rather than relying on  stored tins & dried foods. Has this affected health and the ability to fight off Covid. ","Member of Aberdeen Children of the 1950s study"
"2021/05/11 11:59:50 am CET","3","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/11 2:36:04 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/11 4:49:04 pm CET","3","4","5","4","Perception of risk from Covid compared to other risks","Member of Aberdeen Children of the 1950s study"
"2021/05/11 5:02:55 pm CET","4","4","5","5","Why some individuals refuse to consider others. Society seems to be less considerate these days.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/11 6:15:54 pm CET","5","4","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/11 6:55:52 pm CET","4","4","4","4","Poor access to GP. ","Member of Aberdeen Children of the 1950s study"
"2021/05/12 7:18:13 am CET","5","5","5","5","affect of people not going out does this affect them from going out when restrictions are lifted","Member of Aberdeen Children of the 1950s study"
"2021/05/12 7:31:34 am CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/12 12:09:59 pm CET","5","4","5","5","Dealing with the loss of close relatives to Covid.","Member of Aberdeen Children of the 1950s study"
"2021/05/12 12:59:53 pm CET","5","4","5","4","The impact of spending 24 hours a day, for many months, with your partner","Member of Aberdeen Children of the 1950s study"
"2021/05/12 1:53:20 pm CET","5","4","5","4","How people kept themselves amused and therefore helped their mental wellbeing. ","Member of Aberdeen Children of the 1950s study"
"2021/05/12 4:52:42 pm CET","4","4","5","5","Just keep up the good work, guys. :o))","Member of Aberdeen Children of the 1950s study"
"2021/05/14 12:22:47 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/14 3:32:11 pm CET","3","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/16 10:56:05 am CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/17 11:13:57 am CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
